Tools,Passive Strays,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz,State,Tx,Ty,Tz
1,Passive Strays,22560,1,Too Few Markers,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,11,OK,-214.329,204.022,-1448.263,OK,-163.324,133.213,-1489.936,OK,-126.552,201.482,-1630.177,OK,-114.780,207.650,-1471.794,OK,-115.392,163.262,-1489.678,OK,-105.579,172.423,-1356.773,OK,-76.388,102.576,-1454.241,OK,-32.654,77.826,-1431.705,OK,-29.226,104.720,-1229.310,OK,-39.929,146.105,-1739.038,OK,-34.633,166.222,-1447.229
1,Passive Strays,22623,1,Too Few Markers,1.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.0000000,11,OK,-214.328,204.022,-1448.253,OK,-163.315,133.212,-1489.912,OK,-126.564,201.488,-1630.209,OK,-114.790,207.657,-1471.783,OK,-115.399,163.265,-1489.700,OK,-105.585,172.428,-1356.760,OK,-76.404,102.574,-1454.228,OK,-29.236,104.717,-1229.301,OK,-32.656,77.819,-1431.721,OK,-34.645,166.222,-1447.232,OK,-39.932,146.102,-1739.086
